,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
13589,EUN1_3248565837,17,1,1,7,3,13,1,0,1,0,16263,6.6,16034,183,52,1872,-224,20.326256784674968,1806.3711152413605,12,1,0,3,7,5,0,0,0,0,14391,6.6,16258,197,52,-1872,224,21.881270964923324,1598.4435048538658,1
3226,EUN1_3222473348,11,3,1,4,3,4,1,0,1,0,14728,6.4,16195,191,59,1390,1458,21.21687871202808,1636.032406653139,14,4,0,3,4,3,0,0,0,0,13338,6.2,14737,196,40,-1390,-1458,21.77229438511782,1481.6268495341913,1
3068,EUN1_3248548616,11,0,0,4,6,5,0,0,0,0,15279,6.6,16445,208,56,-743,397,23.103238896376048,1697.0883995083157,10,2,1,6,4,12,1,0,1,0,16022,6.6,16048,194,44,743,-397,21.54821320142766,1779.615834604505,1
8505,EUN1_3247344305,18,2,0,5,3,7,0,0,0,0,15062,6.2,15244,192,56,1603,340,21.32492183638676,1672.895691144049,10,3,1,3,5,7,1,0,1,0,13459,6.2,14904,172,47,-1603,-340,19.103575811763136,1494.8548072704657,1
13578,EUN1_3248668068,20,3,0,5,6,7,1,0,1,0,15471,6.8,17006,195,55,-211,-16,21.660288914930607,1718.4939989891866,17,0,1,6,5,5,0,0,0,0,15682,6.8,17022,215,57,211,16,23.881857008769643,1741.9315423791886,1
10841,EUN1_3250551144,9,1,1,7,11,4,0,0,0,0,15990,6.2,15467,160,52,-628,72,17.77274216749699,1776.1634203642302,9,0,0,11,7,10,0,0,0,0,16618,6.0,15395,143,56,628,-72,15.884388312200434,1845.921433371656,1
5915,EUN1_3249379404,13,2,0,2,4,1,1,0,1,0,13709,6.6,16575,208,60,-628,75,23.10345274436807,1522.7174695795284,12,2,1,4,2,4,0,0,0,0,14337,6.8,16500,201,56,628,-75,22.32593270008645,1592.4721249807935,1
1527,EUN1_3246555386,16,0,1,3,3,5,0,0,0,0,14733,6.4,15691,198,51,1353,897,21.992424831446947,1636.436338594484,11,2,0,3,3,3,0,0,0,0,13380,6.2,14794,164,48,-1353,-897,18.21594784018838,1486.15476891293,1
5884,EUN1_3246309769,12,1,0,2,3,3,0,0,0,0,13717,6.4,15490,195,58,-309,-260,21.659727531735204,1523.622987450317,47,4,1,3,2,3,0,0,0,0,14026,6.2,15750,217,44,309,260,24.10338909941815,1557.945324923682,1
3973,EUN1_3250077753,14,2,1,8,2,12,0,0,0,0,16851,6.4,16311,220,44,3442,1177,24.4359823542588,1871.6851756891597,12,3,0,2,8,4,0,0,0,0,13409,6.4,15134,203,56,-3442,-1177,22.547747354156986,1489.373124492074,1
