,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUW1_6141576712,13,0,0,2,8,1,0,0,0,0,12986,5.8,14191,171,52,4725,2951,18.99324684556602,1442.3760440732185,12,2,1,8,2,10,0,0,0,0,17711,6.8,17142,231,50,-4725,-2951,25.65754398436112,1967.189443753332,0
1,EUW1_6141532322,11,1,0,10,13,12,0,0,0,0,17805,6.6,16623,184,36,788,-127,20.43903188600056,1977.809580055652,13,2,1,13,10,13,1,0,1,0,18593,6.4,16496,168,52,-788,127,18.661724765478773,2065.3419557413504,0
2,EUW1_6141500534,11,2,1,8,8,9,1,0,1,0,16324,6.2,14304,186,40,-648,1210,20.6603537807892,1813.2237371914136,11,0,0,8,8,7,0,0,0,0,15676,6.2,15514,162,40,648,-1210,17.99450168004221,1741.2457304712448,1
3,EUW1_6141433343,16,4,0,8,7,7,0,0,0,0,16468,6.6,17010,190,64,-1181,-1308,21.10579557741013,1829.3170608883688,14,4,1,7,8,8,1,0,1,0,15287,6.2,15702,198,36,1181,1308,21.99446065435372,1698.127878904572,0
4,EUW1_6141410859,12,6,1,4,8,2,0,0,0,0,14439,6.4,16100,200,52,2724,1242,22.21736731603094,1603.982833380854,40,0,0,8,4,8,1,0,1,0,17163,6.8,17342,218,52,-2724,-1242,24.216930374473726,1906.5833762251957,1
5,EUW1_6141386001,11,1,1,8,4,12,0,1,1,0,16637,6.2,15710,168,57,-2566,-805,18.66169021594241,1848.062738825202,11,2,0,4,8,6,0,0,0,0,14071,6.2,14905,180,34,2566,805,19.99466808850973,1563.027637074558,1
6,EUW1_6141343136,15,2,1,6,2,6,1,0,1,0,15365,6.8,16514,187,48,-1943,-1387,20.772007775617887,1706.7481255206887,11,0,0,2,6,1,0,0,0,0,13422,6.2,15127,171,64,1943,1387,18.99472368786448,1490.919189114135,1
7,EUW1_6141330534,7,1,0,1,6,1,0,0,0,0,13845,6.4,15688,205,48,1094,-163,22.77065140724477,1537.8520426014825,16,2,1,6,1,6,1,0,1,0,14939,6.2,15525,199,44,-1094,163,22.104193317276632,1659.3695676723396,0
8,EUW1_6141314917,11,2,1,6,5,5,1,0,1,0,14803,6.2,15270,171,48,-316,435,18.99402040098488,1644.2601403261936,18,3,0,5,6,5,0,0,0,0,14487,6.2,15705,195,44,316,-435,21.65984782568451,1609.1600792343152,0
9,EUW1_6140989848,12,2,1,6,4,10,0,0,0,0,15913,6.6,17247,225,52,-1812,-861,24.991854506679307,1767.5350256212791,9,1,0,4,6,3,0,0,0,0,14101,6.4,16386,199,48,1812,861,22.10390687479636,1566.2672906608218,1
10,EUW1_6140932983,11,1,0,5,6,6,0,0,0,0,14518,6.2,15601,179,54,569,-159,19.884101975450356,1612.722863014459,21,2,1,6,5,7,0,0,0,0,15087,6.4,15442,176,42,-569,159,19.550848869716543,1675.9298687353044,0
11,EUW1_6140794383,13,0,0,0,5,0,0,0,0,0,11849,5.6,13088,200,10,2742,2936,22.21617448583441,1316.19725741326,11,2,1,5,0,5,1,0,1,0,14591,6.6,16024,184,59,-2742,-2936,20.438880526967655,1620.7810096140497,0
12,EUW1_6140711414,12,5,1,3,6,4,0,0,0,0,13631,6.4,14826,160,56,1510,1639,17.77116295601082,1513.9920140836468,13,3,0,6,3,5,1,0,1,0,15141,6.8,16465,180,52,-1510,-1639,19.99255832551217,1681.7073644809989,0
14,EUW1_6140587727,16,0,1,5,8,3,0,0,0,0,14529,6.6,15872,202,52,1377,-769,22.4374223622607,1613.8282648578502,11,2,0,8,5,14,1,1,2,0,15906,6.2,15103,180,48,-1377,769,19.99374269904419,1766.7803965055382,0
15,EUW1_6140525865,11,5,1,8,2,10,1,0,1,0,16523,6.6,17088,195,55,-4346,-4079,21.66044931547426,1835.3620719978524,13,3,0,2,8,2,0,0,0,0,12177,5.8,13009,158,37,4346,4079,17.550517906897092,1352.6117503309235,1
16,EUW1_6140462484,12,2,1,5,4,3,1,0,1,0,14755,6.8,16602,202,55,-464,-892,22.43663317215488,1638.873873540323,12,1,0,4,5,3,0,0,0,0,14291,6.6,15710,207,36,464,892,22.99199537938644,1587.3362607092347,0
17,EUW1_6140349075,12,0,0,4,7,3,1,1,2,0,13441,6.4,15095,167,54,1775,998,18.549475449713704,1492.955086943724,19,2,1,7,4,6,0,0,0,0,15216,6.4,16093,191,53,-1775,-998,21.21526832871448,1690.1126852864893,1
18,EUW1_6140250057,11,6,1,7,6,5,1,0,1,0,16488,6.4,15994,199,68,-1183,-302,22.10398871474747,1831.409879038976,16,4,0,6,7,9,0,0,0,0,15305,6.4,15692,201,56,1183,302,22.32613935509669,1700.007775272412,0
19,EUW1_6140172028,11,2,1,2,5,2,0,0,0,0,12726,6.0,14327,169,49,1729,2116,18.77468343180476,1413.7669902553098,8,3,0,5,2,6,0,0,0,0,14455,6.6,16443,197,46,-1729,-2116,21.88528187021028,1605.8464438268509,1
21,EUW1_6141570470,15,1,0,4,6,5,1,0,1,0,15874,6.2,15165,193,52,-1056,-635,21.44003732566084,1763.4152979665294,11,2,1,6,4,6,0,0,0,0,14818,6.0,14530,165,44,1056,635,18.32956558929553,1646.1060781950378,1
22,EUW1_6141509974,41,2,1,5,9,3,1,0,1,0,14949,6.4,15933,199,48,2119,1039,22.10280209476808,1660.3758216818492,30,1,0,9,5,12,0,0,0,0,17068,6.6,16972,206,56,-2119,-1039,22.880287595589063,1895.731789716088,0
23,EUW1_6141190748,7,0,1,7,8,8,0,0,0,0,16073,6.2,16068,178,40,-375,-694,19.77122398316114,1785.2970959626348,11,1,0,8,7,9,0,0,0,0,15698,6.2,15374,171,36,375,694,18.99370393887952,1743.644236447548,0
24,EUW1_6141157657,16,2,0,7,5,9,0,0,0,0,16045,6.4,16260,203,52,-2144,-2494,22.54699604779667,1782.101239344323,13,2,1,5,7,9,0,0,0,0,13901,5.8,13766,155,52,2144,2494,17.215686637480218,1543.9694190168548,1
26,EUW1_6141075690,17,8,0,10,8,12,0,0,0,0,16428,6.4,15478,169,44,-794,-1162,18.77336256102732,1824.904142914537,15,3,1,8,10,8,0,0,0,0,15634,6.0,14316,180,35,794,1162,19.99529740227761,1736.702664373379,1
28,EUW1_6140984478,6,1,1,9,0,11,0,0,0,1,19015,6.2,15460,214,38,-7605,-3878,23.77086661840909,2112.163685743219,45,0,0,0,9,0,0,0,0,0,11410,5.4,11582,125,51,7605,3878,13.884851996734284,1267.4092902619054,1
29,EUW1_6140861116,12,0,1,3,3,2,0,0,0,0,14241,6.4,16309,202,44,56,-522,22.436757777428102,1581.7914233086815,14,1,0,3,3,5,0,0,0,0,14297,6.4,15787,191,40,-56,522,21.21495413608301,1588.0115145737109,1
30,EUW1_6140793332,12,2,0,8,10,6,0,0,0,0,16205,6.4,16241,198,56,1510,-379,21.994867864165027,1800.1355239333045,12,2,1,10,8,14,0,0,0,0,17715,6.4,15862,205,48,-1510,379,22.772464202797124,1967.874162695371,0
31,EUW1_6140474873,7,3,0,2,9,2,0,0,0,0,13003,6.0,14449,196,44,3771,2192,21.768062771985097,1444.133266449603,16,1,1,9,2,17,0,0,0,0,16774,6.6,16641,197,48,-3771,-2192,21.87912431674012,1862.946351720806,0
32,EUW1_6140401177,33,2,0,2,7,1,1,0,1,0,12490,6.0,14523,170,47,3470,1987,18.883993038841783,1387.4180767949051,33,3,1,7,2,8,0,1,1,0,15960,6.6,16510,212,52,-3470,-1987,23.549450142555635,1772.873699411264,0
33,EUW1_6140356703,12,2,1,11,3,9,1,0,1,0,17786,6.8,16890,209,40,-3879,-1801,23.216676016285,1975.7502374432772,14,1,0,3,11,3,0,0,0,0,13907,6.2,15089,177,60,3879,1801,19.66196964058586,1544.8531739639975,1
34,EUW1_6140293362,11,1,0,7,17,9,0,0,0,0,16433,6.6,15527,162,60,2783,1668,17.996134163772226,1825.496745143636,38,0,1,17,7,25,0,0,0,0,19216,6.8,17195,163,48,-2783,-1668,18.107221411696745,2134.6525561175745,0
35,EUW1_6140202887,12,1,0,4,5,2,0,0,0,0,14312,6.8,16331,204,52,446,-234,22.65777139345294,1589.5981577602868,13,0,1,5,4,6,1,0,1,0,14758,6.6,16097,203,52,-446,234,22.54670388662229,1639.1342658067574,1
36,EUW1_6140115841,30,2,0,5,10,6,0,0,0,0,15313,6.6,16316,197,44,1715,1277,21.88179756560374,1700.8932290461426,32,3,1,10,5,8,1,0,1,0,17028,7.0,17593,216,48,-1715,-1277,23.99222474198177,1891.387050492896,0
38,EUW1_6139513570,16,1,0,9,6,8,0,0,0,0,16245,6.6,16503,194,40,-756,-673,21.549250404511277,1804.472024851988,11,3,1,6,9,9,0,1,1,0,15489,6.4,15830,186,56,756,673,20.660621521851013,1720.4965954405932,1
39,EUW1_6141085583,15,7,1,8,7,8,0,0,0,0,15402,6.4,15678,162,49,993,326,17.993568965166155,1710.7219086511673,14,4,0,7,8,7,0,0,0,0,16395,6.2,16004,183,44,-993,-326,20.32606864583584,1821.015822122834,0
40,EUW1_6133433504,10,2,1,9,5,10,0,0,0,0,17429,6.6,16419,206,52,-2305,-1516,22.88138887808996,1935.921003671019,13,0,0,5,9,6,1,1,2,0,15124,6.2,14903,171,48,2305,1516,18.9937742628805,1679.893812583653,1
41,EUW1_6133354368,12,2,0,4,4,1,0,0,0,0,13749,6.8,16676,191,60,1248,-899,21.2152290541266,1527.1632684041183,14,3,1,4,4,5,0,0,0,0,14997,6.6,15777,213,40,-1248,899,23.658868002769456,1665.7842414907675,0
42,EUW1_6092299221,13,3,1,11,5,14,0,1,1,0,17949,6.8,16541,179,64,-3613,-1407,19.88366022268218,1993.8090354018016,14,1,0,5,11,7,1,0,1,0,14336,6.4,15134,181,48,3613,1407,20.10582402405293,1592.4701282255403,1
43,EUW1_6092266680,13,4,0,3,8,3,1,0,1,0,14129,6.2,15739,190,52,2534,1142,21.107085130058525,1569.5895042241943,24,4,1,8,3,9,0,0,0,0,16663,6.8,16881,190,53,-2534,-1142,21.107085130058525,1851.0913659061328,0
44,EUW1_6070428282,11,1,1,5,12,5,0,0,0,0,15666,6.2,15076,182,47,1824,136,20.215296611346115,1740.0705313920232,16,2,0,12,5,11,0,0,0,0,17490,6.2,15212,159,56,-1824,-136,17.660616270351824,1942.6677897387008,0
45,EUW1_6070364075,12,3,1,13,7,16,0,0,0,0,17977,6.2,14537,171,31,-3129,-823,18.99602490589932,1997.0265481482577,13,2,0,7,13,7,0,0,0,0,14848,6.0,13714,161,27,3129,823,17.885146256431526,1649.4326187297845,1
46,EUW1_6070300015,9,3,0,3,10,4,0,0,0,0,12176,5.8,12513,145,44,5259,4134,16.105265496227297,1352.39801849699,14,1,1,10,3,9,1,0,1,0,17435,6.6,16647,174,66,-5259,-4134,19.326318595472756,1936.519337425675,0
47,EUW1_6069098617,12,1,0,6,5,8,0,0,0,0,15803,6.8,16665,204,60,-1290,-1156,22.659533109946867,1755.3362830220117,10,3,1,5,6,8,1,0,1,0,14513,6.4,15509,193,54,1290,1156,21.43769554029287,1612.0480589444064,1
48,EUW1_6069001456,14,5,1,8,7,5,0,0,0,0,16320,6.6,16407,195,52,-1060,-457,21.66044931547426,1812.8129888643075,13,3,0,7,8,5,1,0,1,0,15260,6.6,15950,177,56,1060,457,19.6610232248151,1695.0690079699343,1
49,EUW1_6068895898,10,3,0,6,8,6,0,0,0,0,14765,6.6,15980,180,40,1350,435,19.9915961253325,1639.8662043918575,13,2,1,8,6,8,1,0,1,0,16115,6.4,16415,212,38,-1350,-435,23.545657658724945,1789.8031753318514,0
50,EUW1_6068259250,17,14,1,3,2,1,0,1,1,0,13941,6.4,15886,202,56,-635,-486,22.43754697629988,1548.5239722603792,32,0,0,2,3,1,1,0,1,0,13306,6.2,15400,181,59,635,486,20.104930706486524,1477.9900993398326,0
51,EUW1_6068223912,11,1,1,5,9,8,0,0,0,0,14736,6.4,15395,192,45,1577,1060,21.326303551792183,1636.7937976000503,12,2,0,9,5,11,0,0,0,0,16313,6.4,16455,194,42,-1577,-1060,21.548452547123357,1811.9582804186768,0
52,EUW1_6068154948,12,1,0,10,8,11,0,0,0,0,16563,6.4,15456,176,36,-290,-171,19.551355634715502,1839.9380873738237,12,4,1,8,10,10,1,0,1,0,16273,6.4,15285,177,56,290,171,19.662442882640025,1807.7227854757125,1
53,EUW1_6064970992,7,3,0,6,6,6,0,0,0,0,14964,6.6,16132,198,48,371,59,21.99270982396576,1662.1157060900184,10,1,1,6,6,5,0,0,0,0,15335,6.6,16191,187,55,-371,-59,20.77089261152322,1703.324268436944,0
54,EUW1_6055246073,15,2,0,3,5,4,0,0,0,0,13828,6.2,14856,173,51,874,914,19.21606596405226,1535.9523708145357,24,4,1,5,3,5,0,0,0,0,14702,6.6,15770,192,37,-874,-914,21.32650095432389,1633.0323803670306,0
55,EUW1_6055219478,12,3,0,3,6,3,0,0,0,0,14799,6.4,15834,194,66,229,-471,21.547854192853293,1643.7458463919377,13,3,1,6,3,5,0,0,0,0,15028,6.4,15363,185,41,-229,471,20.548211472566287,1669.1812000525738,1
56,EUW1_6055155322,12,5,0,5,8,3,0,0,0,0,14866,6.2,14844,175,40,1238,240,19.43792913856652,1651.2243118510276,14,2,1,8,5,10,0,0,0,0,16104,6.2,15084,197,32,-1238,-240,21.881554515986306,1788.7337762712866,0
57,EUW1_6055129255,10,3,0,10,3,11,0,0,0,0,17000,6.6,16307,191,44,-3110,-1073,21.214600680496265,1888.2105317719188,12,2,1,3,10,4,0,0,0,0,13890,6.4,15234,172,68,3110,1073,19.10424773322177,1542.779075665409,0
59,EUW1_6119495295,13,4,1,13,6,12,0,0,0,0,18288,6.4,16069,185,44,-3527,-1328,20.547869130436396,2031.240165715788,19,1,0,6,13,5,0,0,0,0,14761,6.2,14741,172,47,3527,1328,19.103964813162484,1639.4978174830896,0
