,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3248008148,9,2,0,4,6,6,0,0,0,0,14423,6.4,15652,181,63,380,483,20.10656851600194,1602.193578487823,12,1,1,6,4,5,0,0,0,0,14803,6.4,16135,203,32,-380,-483,22.55046082181433,1644.4062637700372,1
1,EUN1_3247993202,14,1,1,11,6,15,0,0,0,0,16987,6.8,16377,177,50,-1914,512,19.660513654060118,1886.8539290481315,12,4,0,6,11,5,1,0,1,0,15073,6.8,16889,177,58,1914,-512,19.660513654060118,1674.2537983482948,0
2,EUN1_3247955663,13,3,1,5,7,6,0,0,0,0,15207,6.0,15255,189,52,527,657,20.993818486778896,1689.1693001505114,86,1,0,7,5,7,1,1,2,0,15734,6.2,15912,186,44,-527,-657,20.66058327270304,1747.70761942317,1
3,EUN1_3247947224,16,5,0,7,5,8,0,0,0,0,15189,6.2,15918,190,36,-350,226,21.10220129278749,1686.954397032364,18,3,1,5,7,3,1,0,1,0,14839,6.4,16144,175,56,350,-226,19.436238032830584,1648.081920966703,1
4,EUN1_3247937208,23,3,0,3,5,2,0,0,0,0,14174,6.6,16200,214,60,543,-255,23.77055857110063,1574.4107345176649,43,1,1,5,3,6,1,0,1,0,14717,6.6,15945,195,40,-543,255,21.660088417591695,1634.7257499574202,1
5,EUN1_3247930510,11,1,1,7,5,8,0,0,0,0,16350,6.6,16683,189,64,-639,-389,20.994945661229703,1816.2294262492362,16,3,0,5,7,7,1,1,2,0,15711,6.6,16294,178,54,639,389,19.77301760687242,1745.2465147279356,1
6,EUN1_3247927132,11,1,0,3,6,3,0,0,0,0,14271,6.2,14933,202,52,1005,561,22.43758851462053,1585.1823054066813,14,2,1,6,3,6,1,0,1,0,15276,6.4,15494,193,44,-1005,-561,21.437893976840407,1696.8148621254616,0
7,EUN1_3247924178,9,2,0,2,8,3,0,0,0,0,13525,6.4,15054,193,62,1968,1605,21.436544680756537,1502.224180348353,15,1,1,8,2,8,1,0,1,0,15493,6.6,16659,179,44,-1968,-1605,19.88156216505399,1720.810293984254,0
8,EUN1_3247431930,16,2,1,4,6,3,0,0,0,0,14606,6.6,16196,197,64,749,349,21.881757056959213,1622.3601196647019,14,2,0,6,4,11,1,0,1,0,15355,6.8,16545,203,44,-749,-349,22.548206510470663,1705.5552264447144,0
9,EUN1_3247405383,13,0,0,4,5,5,0,0,0,0,14449,6.4,15802,206,46,758,277,22.882363177908523,1604.986726007768,21,5,1,5,4,7,0,0,0,0,15207,6.4,16079,202,36,-758,-277,22.43804544629865,1689.1849361478394,1
10,EUN1_3247389402,14,1,0,2,9,3,0,0,0,0,12931,6.0,13632,164,48,3495,3078,18.217634077343483,1436.4160137446863,54,2,1,9,2,12,0,0,0,0,16426,6.6,16710,182,48,-3495,-3078,20.21713050046655,1824.6515692344149,0
11,EUN1_3247124547,11,3,1,2,7,2,0,0,0,0,13367,6.4,15117,184,48,3172,2157,20.43982655770363,1484.8867478088284,10,2,0,7,2,5,1,0,1,0,16539,7.0,17274,197,64,-3172,-2157,21.883944738410953,1837.251583901415,0
12,EUN1_3240879445,12,1,0,7,12,7,0,0,0,0,15192,6.4,15433,194,32,2984,1623,21.54821320142766,1687.4250255468505,13,1,1,12,7,11,1,0,1,0,18176,6.8,17056,202,64,-2984,-1623,22.43679931282674,2018.867645098707,0
13,EUN1_3240858071,13,1,1,5,1,4,0,0,0,0,15159,6.2,15076,166,62,-2544,-477,18.43980034657938,1683.9092376734748,11,1,0,1,5,2,1,1,2,0,12615,6.2,14599,161,52,2544,477,17.884384673489638,1401.3137432054148,1
14,EUN1_3240834477,10,1,1,7,5,6,0,0,0,0,14864,6.2,14722,162,36,-627,489,17.992403207534597,1650.8585263999644,12,1,0,5,7,3,1,0,1,0,14237,6.4,15211,174,52,627,-489,19.325173815500122,1581.2212621337658,1
15,EUN1_3240798945,15,3,1,7,4,7,0,0,0,0,15293,6.4,16320,205,32,-1895,-1430,22.771452374340463,1698.7503471257985,15,2,0,4,7,4,0,0,0,0,13398,6.2,14890,169,35,1895,1430,18.772563176895307,1488.253262982505,1
