,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3249877577,16,1,1,2,3,4,0,0,0,0,14528,6.6,15874,203,68,-421,140,22.551504637129995,1613.9323121587418,48,4,0,3,2,6,1,0,1,0,14107,6.4,16014,197,56,421,-140,21.88495770204241,1567.1629355467628,0
1,EUN1_3249855885,9,1,1,11,5,12,0,0,0,0,18368,6.6,16406,165,48,-2460,39,18.32807249770899,2040.3032462904166,11,1,0,5,11,6,0,0,0,0,15908,6.6,16445,186,53,2460,-39,20.660736270144678,1767.0483472336643,0
2,EUN1_3249851158,42,1,0,7,2,8,0,0,0,0,16233,6.6,16002,190,44,-2633,-1996,21.10247472793542,1802.9288013609246,10,3,1,2,7,3,1,0,1,0,13600,6.2,14006,186,40,2633,1996,20.658212102084146,1510.4929278943248,1
3,EUN1_3249624814,11,4,1,5,2,5,0,0,0,0,14374,6.4,15688,171,48,-361,156,18.993035886841493,1596.525718347717,10,1,0,2,5,1,0,0,0,0,14013,6.4,15844,194,48,361,-156,21.547654748814324,1556.429309253274,0
4,EUN1_3249495856,13,2,1,7,2,7,0,0,0,0,15111,6.8,17142,185,52,-2135,-2574,20.551787727805458,1678.6922397560447,13,2,0,2,7,2,1,0,1,0,12976,6.2,14568,184,48,2135,2574,20.440696983330835,1441.5135003027224,1
5,EUN1_3249463287,14,1,0,3,4,5,0,0,0,0,14475,6.6,15878,192,51,306,852,21.325908757691767,1607.773589935356,8,1,1,4,3,3,0,0,0,0,14781,6.8,16730,190,56,-306,-852,21.103763874799146,1641.7617570179273,0
6,EUN1_3249425038,44,2,0,6,5,13,0,0,0,0,16109,6.8,16479,200,65,-809,-405,22.213501366130334,1789.1864675349677,11,4,1,5,6,12,1,0,1,0,15300,6.8,16074,206,50,809,405,22.879906407114245,1699.3328545089705,0
7,EUN1_3249400575,10,0,0,5,4,6,0,0,0,0,14511,6.2,15248,168,61,591,557,18.662864971950157,1612.004961952195,9,1,1,4,5,6,1,0,1,0,15102,6.2,15805,191,52,-591,-557,21.217900057395713,1677.658254799948,0
8,EUN1_3249370697,12,2,1,7,2,5,0,0,0,0,16537,7.0,17927,204,60,-3857,-3268,22.657435859464666,1836.6961608233685,13,1,0,2,7,1,0,0,0,0,12680,6.4,14659,174,44,3857,3268,19.325459997778683,1408.3151308726076,1
9,EUN1_3249335789,75,1,0,9,15,10,0,0,0,0,16221,6.0,13871,182,39,3117,2651,20.216007671715733,1801.779452982972,13,2,1,15,9,15,0,0,0,0,19338,6.4,16522,166,52,-3117,-2651,18.438776228048415,2148.0063536024113,0
10,EUN1_3249306886,9,2,1,7,6,10,0,0,0,0,15909,6.6,17299,196,60,-953,-3200,21.771488236731614,1767.156154888588,12,1,0,6,7,5,1,0,1,0,14956,6.0,14099,161,44,953,3200,17.883722480172395,1661.2978472885611,0
11,EUN1_3248881150,53,2,0,2,4,2,0,0,0,0,14472,6.8,16494,194,64,-124,-603,21.54909082830706,1607.517744676597,18,3,1,4,2,8,1,0,1,0,14348,6.4,15891,155,64,124,603,17.217057105090692,1593.7440989925244,1
12,EUN1_3248848115,13,1,0,5,3,3,0,0,0,0,16464,6.8,17305,203,52,-3207,-1792,22.549709334616953,1828.8591846558302,14,2,1,3,5,0,0,1,1,0,13257,6.2,15513,173,56,3207,1792,19.217239974821343,1472.6182100936796,1
13,EUN1_3248820240,15,0,1,7,5,7,0,0,0,0,16132,6.2,15759,190,49,-1668,-365,21.105014107035746,1791.926776708951,10,1,0,5,7,7,1,0,1,0,14464,6.4,15394,183,43,1668,365,20.327460955723904,1606.6469686535002,1
14,EUN1_3248703522,12,1,1,4,3,1,0,0,0,0,14459,6.6,16117,201,44,-1018,-544,22.326015361631466,1606.0291348946735,8,0,0,3,4,4,1,0,1,0,13441,6.4,15573,170,56,1018,544,18.8826995595888,1492.955086943724,1
15,EUN1_3248625156,14,0,0,4,6,7,0,0,0,0,14644,6.4,15393,209,63,126,492,23.21594531848796,1626.6713073872618,9,1,1,6,4,3,1,1,2,0,14770,6.2,15885,195,48,-126,-492,21.660810225383507,1640.6675232252019,0
16,EUN1_3248403142,106,0,0,6,7,7,0,0,0,0,15281,6.2,15179,170,52,1793,1516,18.88248982289335,1697.3136881390196,11,0,1,7,6,8,1,1,2,0,17074,6.6,16695,181,60,-1793,-1516,20.1042979879041,1896.4684190357711,0
