,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUW1_6127941175,13,3,1,4,1,5,0,1,1,0,15548,6.4,16247,207,60,-3246,-2860,22.994038582589702,1727.1077868700709,16,3,0,1,4,2,0,0,0,0,12302,5.8,13387,162,48,3246,2860,17.995334542896288,1366.534602140186,0
1,EUW1_6127503416,223,2,0,2,6,2,0,0,0,0,13531,6.0,15088,191,61,1829,1106,21.213854535155576,1502.8516529591104,31,2,1,6,2,7,1,0,1,0,15360,6.8,16194,192,38,-1829,-1106,21.324921836386757,1705.9937469109407,0
2,EUW1_6127398608,14,1,1,2,6,2,1,1,2,0,14147,6.4,15711,194,64,1166,426,21.550088218359416,1571.4901960058282,47,2,0,6,2,7,0,0,0,0,15313,6.6,16137,178,52,-1166,-426,19.77276135498957,1701.012891173906,0
3,EUW1_6125390607,13,2,0,2,5,3,0,0,0,0,13825,6.4,15441,192,64,1121,1482,21.327211633697733,1535.6703168534957,16,1,1,5,2,1,0,0,0,0,14946,6.4,16923,200,56,-1121,-1482,22.215845451768473,1660.190130610658,0
4,EUW1_6125415289,12,1,0,6,7,6,0,0,0,0,15671,6.2,15063,181,48,96,-1,20.1060473658486,1740.7838025978642,21,2,1,7,6,6,1,0,1,0,15767,6.4,15062,164,56,-96,1,18.217634077343483,1751.4477835211871,0
5,EUW1_6125231795,13,3,1,3,7,4,0,0,0,0,13251,6.0,14058,166,52,1963,2778,18.437922882832183,1471.8127477133087,14,1,0,7,3,6,0,0,0,0,15214,6.8,16836,174,56,-1963,-2778,19.32649747959518,1689.8467393940289,0
6,EUW1_6125249207,10,0,0,2,3,0,0,0,0,0,10907,4.8,10888,131,16,4918,5187,14.550840005553757,1211.4962743555332,10,1,1,3,2,2,0,1,1,1,15825,6.4,16075,192,58,-4918,-5187,21.32642199287268,1757.7636876938031,0
7,EUW1_6125294841,16,1,1,5,3,3,0,0,0,0,15509,6.6,16766,202,68,-1159,-1923,22.436965455959125,1722.6480062201488,13,0,0,3,5,4,0,1,1,0,14350,6.2,14843,194,48,1159,1923,21.54837276463401,1593.913140064423,0
8,EUW1_6125181831,12,0,0,9,6,9,0,1,1,0,16683,6.6,16823,180,28,-1927,-2641,19.993594644678648,1853.0729969842996,9,1,1,6,9,9,0,0,0,0,14756,6.2,14182,201,36,1927,2641,22.326180686557827,1639.0304587604342,1
9,EUW1_6125149637,9,1,0,5,8,7,0,0,0,0,15486,6.2,15193,179,44,1190,1737,19.882151048811235,1720.083749396038,12,0,1,8,5,9,0,0,0,0,16676,6.8,16930,184,40,-1190,-1737,20.437518396543393,1852.2611781562914,0
10,EUW1_6125128682,15,3,0,7,10,4,0,0,0,0,14714,6.0,14437,153,52,2505,3126,16.993706034801924,1634.2835986671603,52,0,1,10,7,9,0,0,0,0,17219,7.0,17563,180,59,-2505,-3126,19.992595335061086,1912.5138837467603,0
11,EUW1_6124441259,39,1,0,5,7,11,0,0,0,0,15553,6.0,14232,171,48,1454,1950,18.994723687864482,1727.6312135517912,12,0,1,7,5,8,0,0,0,0,17007,6.4,16182,183,56,-1454,-1950,20.327686753679533,1889.1419050263817,1
12,EUW1_6124435478,11,2,1,3,1,4,1,1,2,0,14279,6.6,16294,171,56,-1298,-1135,18.99345780897691,1586.009263475914,100,1,0,1,3,2,0,0,0,0,12981,6.2,15159,188,50,1298,1135,20.88169630460619,1441.8367006919839,0
13,EUW1_6124380770,15,7,1,7,1,10,1,0,1,0,15974,6.8,17520,193,64,-3380,-2538,21.437338363764606,1774.3007410506518,12,1,0,1,7,1,0,0,0,0,12594,6.2,14982,165,61,3380,2538,18.327258186638133,1398.8696339546707,1
14,EUW1_6124336168,10,2,0,5,7,4,0,1,1,0,14654,6.4,16205,157,60,1070,-876,17.44008442333861,1627.8152684051208,42,2,1,7,5,7,0,0,0,0,15724,6.4,15329,173,48,-1070,876,19.217417867755284,1746.674442500486,1
15,EUW1_6123991261,14,3,0,6,5,4,0,1,1,0,15645,6.8,16677,174,60,-1414,-1799,19.327749761180105,1737.8312931819698,12,2,1,5,6,6,0,0,0,0,14231,6.2,14878,171,45,1414,1799,18.994512696332173,1580.7655566169774,1
16,EUW1_6123977283,16,0,1,5,5,3,0,0,0,0,14312,6.4,16154,193,39,720,-1468,21.43725899281907,1589.6893818923656,16,2,0,5,5,5,0,1,1,0,15032,6.0,14686,153,56,-720,1468,16.994303761146725,1669.662576062468,1
17,EUW1_6124004412,10,0,0,3,9,3,0,1,1,0,14417,6.0,14830,190,52,2152,522,21.104740606076316,1601.4055016726434,11,0,1,9,3,15,1,0,1,0,16569,6.4,15352,156,48,-2152,-522,17.328102813410027,1840.444458431992,0
18,EUW1_6122902676,14,1,0,4,9,7,0,1,1,0,15120,6.2,15617,183,46,1900,946,20.327348058627184,1679.5054789423116,40,1,1,9,4,10,0,0,0,0,17020,6.4,16563,191,52,-1900,-946,21.2159752961628,1890.55444785702,0
19,EUW1_6122766954,17,3,0,6,4,7,1,0,1,0,15448,6.4,15231,169,52,-1024,616,18.771416353346922,1715.8629575532736,10,4,1,4,6,2,0,0,0,0,14424,6.4,15847,203,51,1024,-616,22.547914317925592,1602.1237247377278,0
