,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUW1_6104105266,198,2,1,4,6,3,0,0,0,0,13854,6.2,14307,196,44,444,863,21.77124640385662,1538.8716718317837,12,6,0,6,4,9,0,0,0,0,14298,6.2,15170,177,40,-444,-863,19.660768436135825,1588.1902096037854,0
1,EUW1_6104153673,19,3,1,4,1,6,0,0,0,0,14798,6.4,15509,212,45,-1984,46,23.548185845540935,1643.7078025580884,12,1,0,1,4,1,1,0,1,0,12814,6.2,15555,178,54,1984,-46,19.771590002388145,1423.3323274752902,1
2,EUW1_6103495789,11,1,1,11,8,10,0,0,0,0,18682,6.8,17608,221,49,-3234,-2274,24.549236400259932,2075.243594704326,48,0,0,8,11,8,0,0,0,0,15448,6.4,15334,141,52,3234,2274,15.662634988401132,1716.0027326299341,0
3,EUW1_6103424785,11,2,0,10,10,9,0,0,0,0,17257,6.6,16581,204,47,-208,-868,22.660833600239936,1916.9510070555912,25,3,1,10,10,7,0,0,0,0,17049,6.2,15713,185,40,208,868,20.550265764923473,1893.8458433847582,1
4,EUW1_6103417876,10,0,1,7,6,9,0,0,0,0,14997,6.2,14834,191,45,452,683,21.21770363718838,1665.97854160688,14,1,0,6,7,8,0,0,0,0,15449,6.4,15517,177,40,-452,-683,19.66247928681855,1716.190070633106,0
5,EUW1_6103362815,12,2,1,9,5,11,0,0,0,0,16513,6.2,15527,173,55,-1727,112,19.218307381829625,1834.4041028679342,10,3,0,5,9,6,1,0,1,0,14786,6.2,15639,204,40,1727,-112,22.662050323082333,1642.5542944955657,0
6,EUW1_6103238524,12,1,0,3,4,3,0,0,0,0,14210,6.2,15407,204,37,427,764,22.658652217456417,1578.3306275002728,13,1,1,4,3,5,0,0,0,0,14637,6.4,16171,200,40,-427,-764,22.214364919074917,1625.758296602498,0
7,EUW1_6096993511,14,4,1,10,3,14,0,0,0,1,16700,6.4,15005,146,53,-1327,622,16.216096141457673,1854.8548326187886,12,1,0,3,10,3,1,0,1,0,15373,6.4,15627,191,47,1327,-622,21.21420796587956,1707.46606837417,1
8,EUW1_6096747589,11,3,1,6,6,3,0,0,0,0,15089,6.4,15770,189,32,69,-357,20.99226396198438,1675.9379413882662,15,2,0,6,6,4,0,0,0,0,15158,6.6,15413,190,45,-69,357,21.10333414167742,1683.6017837870859,1
9,EUW1_6095830174,15,2,1,9,4,13,0,0,0,0,16607,6.4,16399,184,40,-1761,-1152,20.439485976550134,1844.7746935465657,17,2,0,4,9,5,0,0,0,0,14846,6.2,15247,224,39,1761,1152,24.882852493191468,1649.155482651431,1
10,EUW1_6095710116,10,1,1,4,3,4,0,0,0,0,14003,6.4,14561,154,60,31,1865,17.105282644432265,1555.3589147401626,12,3,0,3,4,3,0,0,0,0,14034,6.4,16426,197,48,-31,-1865,21.881432993202313,1558.802185921834,1
11,EUW1_6095535554,17,2,0,5,12,8,0,0,0,0,15033,6.4,14986,193,34,3894,2252,21.439124365435244,1669.9189460393163,14,4,1,12,5,19,0,0,0,0,18927,6.8,17238,213,50,-3894,-2252,23.660795284133197,2102.4782739098077,0
12,EUW1_6095407862,14,2,1,6,8,2,0,0,0,0,14870,6.6,16696,179,60,661,-933,19.882776776028113,1651.7144729583129,13,2,0,8,6,6,0,0,0,0,15531,6.4,15763,170,51,-661,933,18.883084088965244,1725.136346974819,0
13,EUW1_6095462476,12,1,0,7,12,11,0,0,0,0,15671,5.8,13037,131,41,2513,3081,14.55162122833456,1740.7515745742817,15,0,1,12,7,16,1,0,1,0,18184,6.6,16118,208,48,-2513,-3081,23.10486424040907,2019.8983237865316,1
14,EUW1_6095327545,13,3,1,3,2,2,0,0,0,0,14026,6.6,16558,217,44,-236,-705,24.102585937196285,1557.893411774724,14,2,0,2,3,3,0,0,0,0,13790,6.4,15853,195,51,236,705,21.659005796098043,1531.6804611702155,0
15,EUW1_6095214126,17,2,1,2,4,1,0,0,0,0,13479,6.6,15564,170,65,1864,947,18.88448250963664,1497.3172926317193,19,7,0,4,2,3,0,0,0,0,15343,6.6,16511,207,55,-1864,-947,22.994634585263437,1704.3800890903233,0
16,EUW1_6092178954,16,0,1,7,6,4,0,0,0,0,15719,6.6,16383,182,48,-954,-15,20.216569070500658,1746.0673034021968,10,6,0,6,7,4,0,0,0,0,14765,6.6,16368,185,44,954,15,20.549809220014403,1640.0969358568252,0
17,EUW1_6092165816,16,3,1,10,9,6,0,0,0,0,17661,6.8,17067,185,60,-1412,-1267,20.550303811248238,1961.8319762727303,93,2,0,9,10,10,0,0,0,0,16249,6.6,15800,171,48,1412,1267,18.995145684991613,1804.9831709674195,1
18,EUW1_6091031757,13,4,0,3,10,2,0,0,0,0,14209,6.6,15963,201,64,3192,1272,22.329859799586732,1578.5322283200392,22,2,1,10,3,13,1,0,1,0,17401,7.0,17235,202,41,-3192,-1272,22.44095362943542,1933.1437331970583,1
