,matchId,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueEliteMonsters,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redDragons,redHeralds,redEliteMonsters,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin,bluewins
0,EUN1_3237606575,21,0,1,13,7,9,0,0,0,0,18325,6.8,17690,198,56,-3163,-2702,21.99238411883292,2035.4062574626935,12,4,0,7,13,5,0,0,0,0,15162,6.4,14988,152,40,3163,2702,16.883042353851536,1684.0834747966908,1
1,EUN1_3237407924,16,1,0,3,8,2,0,0,0,0,13141,6.0,14701,166,51,2859,573,18.43860555268609,1459.6488889629395,8,4,1,8,3,8,0,1,1,0,16000,6.2,15274,193,57,-2859,-573,21.437655853424193,1777.214993029985,0
2,EUN1_3236351010,39,1,0,5,6,5,0,0,0,0,14830,5.8,14305,183,41,-838,170,20.328514722436164,1647.3872859766575,14,12,1,6,5,5,0,0,0,0,13992,6.2,14475,168,56,838,-170,18.662243023875824,1554.2982404170864,1
3,EUN1_3236335250,13,5,1,14,7,17,0,0,0,0,19170,6.6,17160,191,50,-3426,-1183,21.217389372420726,2129.5149438183525,14,1,0,7,14,8,0,1,1,0,15744,6.4,15977,178,50,3426,1183,19.773273865397325,1748.93496481357,1
4,EUN1_3236312075,14,2,1,4,11,7,0,0,0,0,14004,5.8,14204,164,58,4219,1553,18.215273432727514,1555.4066411702202,11,2,0,11,4,17,1,0,1,0,18223,6.6,15757,189,48,-4219,-1553,20.991991943814025,2024.0056571011798,0
5,EUN1_3235998626,12,1,0,4,4,6,0,0,0,0,14611,6.4,16379,177,60,378,436,19.6596401656445,1622.8644206792758,54,1,1,4,4,3,1,0,1,0,14989,6.8,16815,225,48,-378,-436,24.991068007175212,1664.84941493133,1
6,EUN1_3235954389,16,2,1,4,4,4,0,0,0,0,14952,6.2,15391,193,51,-376,1151,21.436306587314075,1660.7028813135755,11,3,0,4,4,4,0,0,0,0,14576,6.6,16542,184,68,376,-1151,20.43668607287974,1618.9409575994298,1
7,EUN1_3235900701,12,2,0,4,5,2,0,0,0,0,13284,6.2,14970,159,48,823,796,17.660322032455007,1475.4699237681277,9,2,1,5,4,4,0,0,0,0,14107,6.4,15766,171,40,-823,-796,18.993176525470478,1566.8815277474387,0
8,EUN1_3235758046,7,1,0,5,4,10,0,0,0,0,14563,6.2,14543,157,48,-444,38,17.43863156725536,1617.5719204709542,11,0,1,4,5,6,1,0,1,0,14119,6.4,14581,174,44,444,-38,19.326891036321225,1568.2550261024103,0
9,EUN1_3235727504,12,0,1,2,8,1,0,0,0,0,12563,6.2,14260,172,43,3354,2279,19.106582143491913,1395.5580899342378,9,1,0,8,2,5,0,0,0,0,15917,6.4,16539,180,44,-3354,-2279,19.995260382724094,1768.1364417323302,1
10,EUN1_3233022189,10,3,0,12,8,6,0,0,0,0,17490,6.6,17489,188,51,-2401,-2532,20.882276168102322,1942.718139255902,10,0,1,8,12,7,0,0,0,0,15089,6.2,14957,172,40,2401,2532,19.105061175072336,1676.02481436434,1
11,EUN1_3230220517,13,1,0,10,8,7,0,0,0,0,17637,6.8,17309,182,56,-1791,-2357,20.217317650718066,1959.19138135008,18,0,1,8,10,14,0,0,0,0,15846,6.2,14952,171,40,1791,2357,18.9953918586417,1760.2396455674643,1
12,EUN1_3229120008,13,2,1,10,8,6,0,0,0,0,17275,6.8,16798,195,55,-2417,-2144,21.658003465280554,1918.6769736549822,12,2,0,8,10,5,1,0,1,0,14858,6.2,14654,151,36,2417,2144,16.771069350037763,1650.2287973699408,1
13,EUN1_3229113464,131,5,1,14,3,9,0,0,0,0,18079,6.6,16937,200,45,-5746,-3739,22.216462398637393,2008.257118524827,9,1,0,3,14,6,1,0,1,0,12333,5.8,13198,111,36,5746,3739,12.330136631243752,1369.9781538119748,1
14,EUN1_3229104537,12,1,0,4,8,1,0,0,0,0,13559,6.4,15981,161,50,3047,1680,17.88577543909023,1506.2933489355555,14,2,1,8,4,8,1,0,1,0,16606,6.8,17661,213,60,-3047,-1680,23.662547630597636,1844.7899810033068,0
15,EUN1_3229089749,9,0,0,5,2,4,0,0,0,0,13435,6.0,14790,140,40,1253,372,15.551063026236866,1492.3466554106592,31,2,1,2,5,2,0,0,0,0,14688,6.4,15162,187,54,-1253,-372,20.771777042187814,1631.528669495479,0
16,EUN1_3227815739,15,1,1,7,5,9,0,0,0,0,15868,6.4,16016,184,56,-1325,-290,20.436648241596725,1762.4387733568306,13,2,0,5,7,5,0,0,0,0,14543,6.4,15726,186,48,1325,290,20.658785722483646,1615.2726922692455,0
17,EUN1_3227782864,79,4,1,3,3,2,0,0,0,0,13374,6.2,15183,181,35,599,396,20.10467017048242,1485.5240820996237,18,2,0,3,3,3,0,0,0,0,13973,6.4,15579,203,48,-599,-396,22.548331738165366,1552.058322056082,1
18,EUN1_3227739868,13,1,1,6,11,6,0,0,0,0,14766,6.0,14382,185,47,2189,1159,20.54954291151848,1640.1867601701724,12,4,0,11,6,11,1,0,1,0,16955,6.2,15541,190,44,-2189,-1159,21.10493596318114,1883.3378381880857,1
19,EUN1_3227708543,36,3,0,6,8,6,0,0,0,0,14769,6.2,14865,155,56,1681,1204,17.216419651154613,1640.4471085671128,32,2,1,8,6,7,1,0,1,0,16450,6.4,16069,182,48,-1681,-1204,20.215408880710577,1827.1619565257636,0
20,EUN1_3246685937,17,2,0,5,7,3,0,0,0,0,14720,6.6,16729,183,56,1595,382,20.328251270515704,1635.1467688633397,15,2,1,7,5,6,1,0,1,0,16315,6.6,17111,203,60,-1595,-382,22.549918076036548,1812.3246966036268,0
21,EUN1_3246665786,12,18,0,5,8,1,0,0,0,0,14710,6.4,15568,185,41,1381,179,20.551026718186176,1634.084340673074,53,2,1,8,5,12,0,0,0,0,16091,6.2,15747,156,38,-1381,-179,17.32951442182186,1787.4949779585609,1
22,EUN1_3246652206,10,2,0,5,5,4,0,0,0,0,16582,6.8,17569,230,54,-2217,-1143,25.54803307914892,1841.9021066019452,13,0,1,5,5,5,0,1,1,0,14365,6.4,16426,170,40,2217,1143,18.883328797631812,1595.641283399888,1
23,EUN1_3229975171,12,0,0,5,12,4,0,0,0,0,15459,6.2,15957,197,44,2494,433,21.87948881221401,1716.9290230863776,10,1,1,12,5,13,1,0,1,0,17953,6.8,16390,195,44,-2494,-433,21.657362022242296,1993.9211301811072,0
24,EUN1_3229951100,11,1,1,5,5,4,0,0,0,0,14511,6.4,15816,175,56,-152,-150,19.437677253104475,1611.7721978274233,16,0,0,5,5,6,1,0,1,0,14359,6.6,15666,181,42,152,150,20.104111901782343,1594.8891867275838,0
25,EUN1_3229934712,14,1,0,12,7,11,0,0,0,0,17931,7.0,17592,195,56,-2742,-1843,21.659767629569842,1991.6989403375223,11,1,1,7,12,5,1,0,1,0,15189,6.4,15749,171,52,2742,1843,18.993950075161248,1687.12928474634,1
26,EUN1_3229916009,12,1,0,8,9,10,0,0,0,0,16274,6.4,16001,172,43,712,522,19.106405274256524,1807.776973449132,16,0,1,9,8,9,0,1,1,0,16986,6.4,16523,201,48,-712,-522,22.32783407049745,1886.8686045844263,0
27,EUN1_3229887298,17,3,0,5,6,6,0,0,0,0,14107,6.0,14784,159,42,1901,1434,17.6627743145492,1567.0991022348778,19,3,1,6,5,6,0,0,0,0,16008,6.4,16218,184,49,-1901,-1434,20.439940087277062,1778.2747875931045,0
28,EUN1_3229861684,10,1,0,7,6,5,0,0,0,0,15332,6.6,17244,174,53,-402,-2016,19.328715917864066,1703.1486922568497,13,2,1,6,7,7,1,0,1,0,14930,6.4,15228,166,45,402,2016,18.44003932393928,1658.4926934121293,1
29,EUN1_3229468534,11,0,0,7,3,12,0,0,0,0,16147,6.2,15410,177,56,-1862,776,19.65876675484111,1793.3904338441776,14,0,1,3,7,3,1,0,1,0,14285,6.2,16186,193,63,1862,-776,21.435830416295676,1586.5846502424026,0
30,EUN1_3229446827,8,1,0,4,7,2,0,0,0,0,13281,6.0,14226,157,49,3750,2948,17.438889835089565,1475.1967891708568,11,0,1,7,4,5,1,0,1,0,17031,6.8,17174,227,44,-3750,-2948,25.21419103544797,1891.7307820472,0
31,EUN1_3229422113,11,0,0,3,5,2,0,0,0,0,13093,6.6,15368,172,49,2262,1433,19.103929448744267,1454.2310946070272,12,1,1,5,3,5,0,0,0,0,15355,6.6,16801,210,50,-2262,-1433,23.324565024629628,1705.4699807294664,0
32,EUN1_3229382797,13,4,0,4,7,3,0,0,0,0,14867,6.6,16078,198,64,353,301,21.99189557922173,1651.2803614964116,15,1,1,7,4,3,1,1,2,0,15220,6.6,16379,195,48,-353,-301,21.658685040142615,1690.4881349280543,1
33,EUN1_3229352481,11,1,0,3,9,3,0,0,0,0,12901,6.4,15079,144,40,3655,725,15.995882541345837,1433.0755601798796,62,1,1,9,3,8,0,0,0,0,16556,6.4,15804,166,44,-3655,-725,18.439697929607007,1839.0821621841785,1
